ref_name,subject_name,vaccination_date_cmp,vaccination_date,vaccine_name,dosage,location,section
Zhao22,"ZF2001(0,1,2)",~,2021-04-01,ZF2001,1,China,Figure S3 Table S1
Zhao22,"ZF2001(0,1,2)",~,2021-05-01,ZF2001,2,China,Figure S3 Table S1
Zhao22,"ZF2001(0,1,2)",~,2021-06-05,ZF2001,3,China,Figure S3 Table S1
Zhao22,"ZF2001(0,1,3)",~,2021-04-01,ZF2001,1,China,Figure S3 Table S1
Zhao22,"ZF2001(0,1,3)",~,2021-05-07,ZF2001,2,China,Figure S3 Table S1
Zhao22,"ZF2001(0,1,3)",~,2021-07-11,ZF2001,3,China,Figure S3 Table S1
Zhao22,ZF2001(Prolonged-interval),~,2021-04-01,ZF2001,1,China,Figure S3 Table S1
Zhao22,ZF2001(Prolonged-interval),~,2021-05-03,ZF2001,2,China,Figure S3 Table S1
Zhao22,ZF2001(Prolonged-interval),~,2021-10-07,ZF2001,3,China,Figure S3 Table S1
Zhao22,Inactivated_vaccine,~,2021-04-01,Inactivated,1,China,Figure S3 Table S1
Zhao22,Inactivated_vaccine,~,2021-04-29,Inactivated,2,China,Figure S3 Table S1
Zhao22,Inactivated_vaccine,~,2021-11-30,Inactivated,3,China,Figure S3 Table S1
Zhao22,heterologous_boost,~,2021-04-01,Inactivated,1,China,Figure S3 Table S1
Zhao22,heterologous_boost,~,2021-04-24,Inactivated,2,China,Figure S3 Table S1
Zhao22,heterologous_boost,~,2021-11-01,ZF2001,3,China,Figure S3 Table S1
Zhao22,ZF2001_4-7Mo,~,2021-04-01,ZF2001,1,China,Figure S3 Table S1
Zhao22,ZF2001_4-7Mo,~,2021-04-29,ZF2001,2,China,Figure S3 Table S1
Zhao22,ZF2001_4-7Mo,~,2021-08-25,ZF2001,3,China,Figure S3 Table S1
