ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Wibmer21,CP_01,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,42,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_02,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,42,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_03,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,43,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_04,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,47,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_05,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,49,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_06,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,51,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_07,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,132,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_08,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,140,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_09,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,154,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_10,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,164,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_11,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,174,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_12,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,174,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_13,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,177,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_14,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,216,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_15,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,216,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_16,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,226,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_17,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,237,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_18,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,245,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_19,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,251,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_20,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,255,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_21,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,308,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_22,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,326,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_23,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,401,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_24,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,614,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_25,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,695,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_26,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,728,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_27,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,790,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_28,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,897,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_29,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,1286,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_30,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,1448,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_31,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,1511,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_32,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,1764,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_33,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,1767,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_34,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,1936,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_35,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,2235,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_36,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,2283,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_37,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,4984,1,NULL,20,NULL,2021-07-05
Wibmer21,CP_38,S:614G,Figure 2; Figure S2,HIV pseudovirus,NT50,5189,1,NULL,20,NULL,2021-07-05
