ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Wang21,Moderna_01_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,161,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_02_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,863,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_03_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1097,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_04_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1256,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_05_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1508,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_06_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1581,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_07_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1630,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_08_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1826,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_09_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,2444,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_10_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,6261,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_11_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,9185,1,NULL,10,NULL,2021-01-27
Wang21,Pfizer-BioNTech_01_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,683,1,NULL,10,NULL,2021-01-27
Wang21,Pfizer-BioNTech_02_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1205,1,NULL,10,NULL,2021-01-27
Wang21,Pfizer-BioNTech_03_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,1416,1,NULL,10,NULL,2021-01-27
Wang21,Pfizer-BioNTech_04_417N,Wuhan-Hu-1,Figure 1I,Pseudovirus (HIV),NT50,4364,1,NULL,10,NULL,2021-01-27
Wang21,Moderna_01_417N,S:417N,Figure 1I,Pseudovirus (HIV),NT50,331,1,NULL,10,NULL,2021-01-27
