ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Collier21,S2L50,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.2,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2M28,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,41.4,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2D106,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.7,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2D19,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,587.5,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2D32,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.4,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2D65,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.5,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2D8,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,2172,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2D97,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.9,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2E11,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.6,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2E12,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,1.1,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2E13,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,2.3,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2E16,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,1.1,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2E23,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,1.3,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2H14,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,140.1,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2H58,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.5,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2H7,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,1.2,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2H70,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.4,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2H71,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.3,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2M11,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.4,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2N12,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.5,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2N22,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.7,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2N28,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,0.3,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2X128,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,2.2,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
Collier21,S2X16,S:614G,B.1.1.7 Spike,1,Supplementary Table 1,=,2.3,0,NULL,NULL,1,MLV pseudovirus,2021-04-06
