ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,1,Figure 3b,=,1.9,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,2,Figure 3b,=,0.9,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,3,Figure 3b,=,1.4,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,4,Figure 3b,=,1.4,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,5,Figure 3b,=,4.9,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,6,Figure 3b,=,2.9,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,7,Figure 3b,=,2.3,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.351 Spike,8,Figure 3b,=,2.3,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,1,Figure 3c,=,0.4,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,2,Figure 3c,=,0.3,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,3,Figure 3c,=,0.7,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,4,Figure 3c,=,0.7,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,5,Figure 3c,=,0.2,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,6,Figure 3c,=,0.2,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,7,Figure 3c,=,0.1,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.351 Spike,8,Figure 3c,=,0.2,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,1,Figure 3d,=,0.6,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,2,Figure 3d,=,1.2,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,3,Figure 3d,=,1.0,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,4,Figure 3d,=,0.6,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,5,Figure 3d,=,1.1,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,6,Figure 3d,=,1.1,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,7,Figure 3d,=,0.7,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.351 Spike,8,Figure 3d,=,0.7,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,B.1.429 Spike,1,Figure 4,=,2.3,0,NULL,NULL,8,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,B.1.429 Spike,1,Figure 4,=,1.5,0,NULL,NULL,8,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,B.1.429 Spike,1,Figure 4,=,3.5,0,NULL,NULL,8,NULL,2021-05-01
Wu21b,mRNA-1273_mice,S:614G,P.1 Spike,1,Figure 4,=,1.9,0,NULL,NULL,8,NULL,2021-05-01
Wu21b,mRNA-1273.351_mice,S:614G,P.1 Spike,1,Figure 4,=,0.8,0,NULL,NULL,8,NULL,2021-05-01
Wu21b,mRNA-1273.211_mice,S:614G,P.1 Spike,1,Figure 4,=,1.4,0,NULL,NULL,8,NULL,2021-05-01
Wu21b,mRNA-1273_mice_2nd,S:614G,B.1.351 Spike,1,Figure 6C,=,8.1,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_2nd,S:614G,B.1.351 Spike,2,Figure 6C,=,10.0,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_2nd,S:614G,B.1.351 Spike,3,Figure 6C,=,3.9,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_2nd,S:614G,B.1.351 Spike,4,Figure 6C,=,6.6,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_2nd,S:614G,B.1.351 Spike,5,Figure 6C,=,5.3,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_3rd,S:614G,B.1.351 Spike,1,Figure 6C,=,1.1,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_3rd,S:614G,B.1.351 Spike,2,Figure 6C,=,8.1,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_3rd,S:614G,B.1.351 Spike,3,Figure 6C,=,1.0,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_3rd,S:614G,B.1.351 Spike,4,Figure 6C,=,1.0,0,NULL,NULL,1,NULL,2021-05-01
Wu21b,mRNA-1273_mice_3rd,S:614G,B.1.351 Spike,5,Figure 6C,=,2.6,0,NULL,NULL,1,NULL,2021-05-01
