ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,1,Figure 4a,=,67.6,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,2,Figure 4a,=,2.1,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,3,Figure 4a,=,1.8,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,4,Figure 4a,=,10,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,5,Figure 4a,=,29.4,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,6,Figure 4a,=,1.8,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,BNT162b2_12d,Wuhan-Hu-1,B.1.351 full genome,1,Figure 4a,=,12.8,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,BNT162b2_12d,Wuhan-Hu-1,B.1.351 full genome,2,Figure 4a,=,2.5,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,BNT162b2_12d,Wuhan-Hu-1,B.1.351 full genome,3,Figure 4a,=,3.4,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,BNT162b2_12d,Wuhan-Hu-1,B.1.351 full genome,4,Figure 4a,=,5.3,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,BNT162b2_12d,Wuhan-Hu-1,B.1.351 full genome,5,Figure 4a,=,5.8,0,NULL,NULL,1,authentic virus,2021-03-16
Becker21,CP,Wuhan-Hu-1,B.1.351 full genome,7,Figure 4a,=,40,0,NULL,experimental,1,authentic virus,2021-03-16
Becker21,BNT162b2_12d,Wuhan-Hu-1,B.1.351 full genome,6,Figure 4a,=,40,0,NULL,experimental,1,authentic virus,2021-03-16
