ref_name,rx_name,ab_name
Bloom21,2B04,2B04
Bloom21,2C02,2C02
Bloom21,2C03,2C03
Bloom21,2E06,2E06
Starr21c,COV2-2050,COV2-2050
Starr21c,COV2-2082,COV2-2082
Starr21c,COV2-2094,COV2-2094
Starr21c,COV2-2096,COV2-2096
Starr21c,COV2-2165,COV2-2165
Starr21c,COV2-2479,COV2-2479
Starr21c,COV2-2499,COV2-2499
Starr21c,COV2-2677,COV2-2677
Starr21c,COV2-2832,COV2-2832
Greaney20,rCR3022,CR3022
Starr21c,LY-CoV016,Etesevimab
Starr21,REGN10933 + REGN10987,Casirivimab
Starr21,REGN10933 + REGN10987,Imdevimab
Starr21c,REGN10933,Casirivimab
Starr21c,REGN10987,Imdevimab
Starr21b,LY-CoV555+LY-CoV016,Bamlanivimab
Starr21b,LY-CoV555+LY-CoV016,Etesevimab
Starr21c,LY-CoV555,Bamlanivimab
Greaney21b,C002,C002
Greaney21b,C105,C105
Greaney21b,C110,C110
Greaney21b,C121,C121
Greaney21b,C135,C135
Greaney21b,C144,C144
Greaney21b,COV-021,COV-021
Greaney21b,COV-047,COV-047
Greaney21b,COV-057,COV-057
Greaney21b,COV-072,COV-072
Greaney21b,COV-107,COV-107
Starr21c,S2D106,S2D106
Starr21c,S2E12,S2E12
Starr21c,S2H13,S2H13
Starr21c,S2H14,S2H14
Starr21c,S2H58,S2H58
Starr21c,S2H97,S2H97
Starr21c,S2X16,S2X16
Starr21c,S2X227,S2X227
Starr21c,S2X259,S2X259
Starr21c,S2X35,S2X35
Starr21c,S2X58,S2X58
Starr21c,S304,S304
Starr21c,S309,Sotrovimab
Dong21,AZD7442,Cilgavimab
Dong21,AZD7442,Tixagevimab
Starr21c,COV2-2130,Cilgavimab
Starr21c,COV2-2196,Tixagevimab
Starr21c,CR3022,CR3022
