ref_name,rx_name,ab_name
Yuan21,CC12.1,CC12.1
Yuan21,CC12.3,CC12.3
Yuan21,COVA2-04,COVA2-04
Yuan21,COVA2-07,COVA2-07
Yuan21,CAS,Casirivimab
Yuan21,COVA2-39,COVA2-39
Yuan21,C144,C144
Yuan21,C121,C121
Yuan21,CV05-163,CV05-163
Yuan21,CV07-250,CV07-250
Yuan21,CV07-270,CV07-270
Yuan21,IMD,Imdevimab
Yuan21,COVA2-15,COVA2-15
Yuan21,COVA1-16,COVA1-16
Yuan21,C135,C135
Yuan21,CV136-142,CV136-142
Yuan21,CAS/IMD,Casirivimab
Yuan21,CAS/IMD,Imdevimab
Yuan21,CV07-209,CV07-209
Yuan21,CC6.29,CC6.29
