ref_name,subject_name,collection_date,section,note,date_added
Copin21,Hospitalized placebo patients,2021-03-01,Figure 4B,≥2 samples from ≥1 subject (uncertain how many samples sequenced per person),2021-10-08
Copin21,Hospitalized low dose patients,2021-03-01,Figure 4B,≥2 samples from ≥1 subject (uncertain how many samples sequenced per person),2021-10-08
Copin21,Hospitalized high dose patients,2021-03-01,Figure 4B,≥2 samples from ≥1 subject (uncertain how many samples sequenced per person),2021-10-08
Copin21,Non-hospitalized placebo patients,2021-03-01,Figure 6B,≥2 samples from ≥1 subject (uncertain how many samples sequenced per person),2021-10-08
Copin21,Non-hospitalized low dose patients,2021-03-01,Figure 6B,≥2 samples from ≥1 subject (uncertain how many samples sequenced per person),2021-10-08
Copin21,Non-hospitalized high dose patients,2021-03-01,Figure 6B,≥2 samples from ≥1 subject (uncertain how many samples sequenced per person),2021-10-08
Copin21,Placebo prevention hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,REGEN-COV prevention low dose hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,REGN10933 prevention low dose hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,REGN10987 prevention low dose hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,REGEN-COV prevention high dose hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,REGN10933 prevention high dose hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,REGN10987 prevention high dose hamsters,2021-01-01,Figure 3B,RBD/Prevention,2021-10-08
Copin21,Placebo treatment hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
Copin21,REGEN-COV treatment low dose hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
Copin21,REGN10933 treatment low dose hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
Copin21,REGN10987 treatment low dose hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
Copin21,REGEN-COV treatment high dose hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
Copin21,REGN10933 treatment high dose hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
Copin21,REGN10987 treatment high dose hamsters,2021-01-01,Figure 3C,RBD/Treatment,2021-10-08
